ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002181	cytoplasmic translation	67/3273	165/18986	0.406060606060606	2.35547408086363	7.9810602688715	1.05956468447252e-12	6.59579016084143e-09	6.07074797640413e-09	CPEB2/DHX29/DHX36/EIF3A/EIF3D/EIF3F/EIF3G/EIF3K/EIF3L/FMR1/FTSJ1/IMPACT/MCTS1/NEMF/PKM/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL18A/RPL19/RPL23/RPL23A/RPL26/RPL28/RPL30/RPL31/RPL32/RPL34/RPL35/RPL36/RPL37/RPL37A/RPL38/RPL4/RPL6/RPL7A/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS20/RPS21/RPS24/RPS25/RPS27/RPS28/RPS4X/RPS5/RPS7/RPS8/RPS9/RPSA/SH3BGRL/UBA52	67
BP	GO:0006582	melanin metabolic process	16/3273	25/18986	0.64	3.71250840207761	6.19382920439282	2.47923618755624e-07	0.00077166226337688	0.000710235924677296	APPL1/ASIP/ATP7A/BCL2/CITED1/DCT/DDT/MFSD12/OCA2/OPN3/PMEL/RAPGEF2/SLC24A5/TRPC1/TYR/ZEB2	16
BP	GO:0042438	melanin biosynthetic process	15/3273	24/18986	0.625	3.62549648640391	5.87386200364535	9.30349518758147e-07	0.00193047525142315	0.00177680436161424	APPL1/ASIP/ATP7A/CITED1/DCT/DDT/MFSD12/OCA2/OPN3/PMEL/RAPGEF2/SLC24A5/TRPC1/TYR/ZEB2	15
BP	GO:0044782	cilium organization	112/3273	427/18986	0.262295081967213	1.52151983691705	4.97457785249661	1.60263160280191e-06	0.00249409543186047	0.00229555889843442	AHI1/ARL13B/ARL3/ARMC12/ATXN10/AURKA/AVIL/BBS10/BBS2/BBS7/CCDC28B/CCDC39/CCDC63/CCDC66/CCDC88A/CCP110/CDC14A/CENPJ/CEP120/CEP126/CEP128/CEP135/CEP162/CEP290/CEP350/CEP70/CEP97/CFAP221/CFAP43/CFAP44/CFAP47/CFAP54/CFAP69/CPLANE1/CPLANE2/DAW1/DCDC2/DMD/DNAH17/DNAH5/DNAL1/DTNBP1/DUSP23/DZIP1/EHD2/ERICH3/FAM161B/FNBP1L/GMNC/GORAB/GSN/IFT27/IFT74/IFT80/IFT81/INTU/IQUB/KCNQ1/KCTD17/KIF27/KIF3A/KIFAP3/KLC3/LCA5/LPAR1/MARCHF7/MCIDAS/MNS1/NEK1/ODF2L/PCM1/PIBF1/PLK4/PPP1R35/RAB8A/RFX2/RFX3/RO60/RP1/RP2/RPGR/RPGRIP1/RPGRIP1L/RSPH9/RTTN/SNAP29/SPACA9/SPAG16/SPATA6/SPEF2/SSX2IP/TCTN3/TEKT5/TMEM216/TMEM250/TMEM67/TSGA10IP/TTBK2/TTC21B/TTC29/UNC119B/USP9X/VANGL2/WDPCP/WDR11/WDR44/ZMYND10/ZMYND12/ODAD2/PIERCE1/CLXN/NHERF1	112
BP	GO:0032481	positive regulation of type I interferon production	30/3273	75/18986	0.4	2.3203177512985	5.22878271445181	2.63155317075189e-06	0.0032762836975861	0.00301548292808475	CD14/CHUK/DDX3X/DHX33/DHX36/DHX58/FLOT1/GAPDH/IRAK1/IRF7/ISG15/MMP12/NMB/OAS1/OAS3/POLR3C/POLR3F/POLR3G/PQBP1/PTPN11/RNF135/STING1/TANK/TICAM1/TLR3/TLR4/TLR9/TRIM56/ZBTB20/GARIN5A	30
BP	GO:0044550	secondary metabolite biosynthetic process	15/3273	26/18986	0.576923076923077	3.34661214129592	5.4645898231772	3.88069448581673e-06	0.00397198403527754	0.00365580369545815	APPL1/ASIP/ATP7A/CITED1/DCT/DDT/MFSD12/OCA2/OPN3/PMEL/RAPGEF2/SLC24A5/TRPC1/TYR/ZEB2	15
BP	GO:0060271	cilium assembly	104/3273	398/18986	0.261306532663317	1.51578546567239	4.74616740319709	4.46648807179803e-06	0.00397198403527754	0.00365580369545815	AHI1/ARL13B/ARL3/ARMC12/ATXN10/AVIL/BBS10/BBS2/BBS7/CCDC28B/CCDC39/CCDC63/CCDC66/CCDC88A/CCP110/CDC14A/CENPJ/CEP120/CEP126/CEP128/CEP135/CEP162/CEP290/CEP350/CEP70/CEP97/CFAP221/CFAP43/CFAP44/CFAP47/CFAP54/CFAP69/CPLANE1/CPLANE2/DAW1/DCDC2/DMD/DNAH17/DNAH5/DNAL1/DTNBP1/DUSP23/DZIP1/EHD2/ERICH3/FNBP1L/GMNC/GORAB/GSN/IFT27/IFT74/IFT80/IFT81/INTU/IQUB/KCNQ1/KCTD17/KIF27/KIF3A/KLC3/LPAR1/MARCHF7/MCIDAS/MNS1/NEK1/ODF2L/PCM1/PIBF1/PLK4/PPP1R35/RAB8A/RFX2/RFX3/RO60/RP1/RP2/RPGR/RPGRIP1/RPGRIP1L/RSPH9/SNAP29/SPACA9/SPAG16/SPATA6/SPEF2/SSX2IP/TCTN3/TEKT5/TMEM216/TMEM250/TMEM67/TTBK2/TTC21B/UNC119B/USP9X/VANGL2/WDPCP/WDR11/WDR44/ZMYND10/ZMYND12/ODAD2/PIERCE1/CLXN	104
BP	GO:0042254	ribosome biogenesis	85/3273	317/18986	0.26813880126183	1.55541805094931	4.55132492544404	1.14011387623323e-05	0.00760993183247233	0.00700416131289738	BRIX1/BYSL/CINP/DDX17/DDX3X/DDX49/DDX52/DHX29/DNTTIP2/EIF6/EMG1/ERI2/ESF1/EXOSC4/EXOSC6/FBL/FBLL1/GAR1/GRWD1/GTPBP10/HEATR3/KAT2B/MCAT/MDN1/METTL15/MPV17L2/MRPS2/MTREX/NHP2/NMD3/NOP10/NOP53/NPM3/NSUN3/PELP1/PIH1D1/POP7/RNASEL/RPL11/RPL26/RPL35/RPL38/RPL7A/RPL7L1/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS19/RPS19BP1/RPS21/RPS24/RPS25/RPS27/RPS28/RPS4X/RPS5/RPS7/RPS8/RPS9/RPSA/RRN3/RRP36/RSL24D1/SDAD1/SNU13/SRFBP1/TMA16/TSR3/USP16/UTP15/WDR12/WDR18/WDR36/WDR46/ZNF593/ZNF622/ZNHIT6/AIRIM/MPHOSPH6/AFG2B	85
BP	GO:0032479	regulation of type I interferon production	42/3273	128/18986	0.328125	1.90338565536205	4.68035836654793	1.30663079763344e-05	0.00760993183247233	0.00700416131289738	BANF1/CACTIN/CD14/CHUK/DDX3X/DHX33/DHX36/DHX58/FLOT1/GAPDH/IRAK1/IRF7/ISG15/MMP12/MORC3/NMB/OAS1/OAS3/POLR3C/POLR3F/POLR3G/PQBP1/PTPN11/PYCARD/RBX1/REL/RELB/RNF125/RNF135/SIGLEC1/STING1/TANK/TICAM1/TIRAP/TLR3/TLR4/TLR9/TRIM56/TYROBP/XAF1/ZBTB20/GARIN5A	42
BP	GO:0032606	type I interferon production	42/3273	128/18986	0.328125	1.90338565536205	4.68035836654793	1.30663079763344e-05	0.00760993183247233	0.00700416131289738	BANF1/CACTIN/CD14/CHUK/DDX3X/DHX33/DHX36/DHX58/FLOT1/GAPDH/IRAK1/IRF7/ISG15/MMP12/MORC3/NMB/OAS1/OAS3/POLR3C/POLR3F/POLR3G/PQBP1/PTPN11/PYCARD/RBX1/REL/RELB/RNF125/RNF135/SIGLEC1/STING1/TANK/TICAM1/TIRAP/TLR3/TLR4/TLR9/TRIM56/TYROBP/XAF1/ZBTB20/GARIN5A	42
