category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: viral	hsa05171	Coronavirus disease - COVID-19	80/1529	238/9560	0.336134453781513	2.10166473391188	7.50945703715027	9.53241066011468e-12	3.32681132038002e-09	2.67910910131644e-09	712/713/717/728/629/1675/1147/5610/2147/3456/3592/3572/3654/51135/9636/6885/4314/4599/4938/4940/5290/5291/5295/8503/6134/4736/6135/6136/6137/23521/6142/6143/9349/6147/6154/6158/6156/6160/6161/6164/11224/25873/6167/6168/6169/6124/6128/6130/6175/6176/6181/6204/6205/6206/6207/6208/6209/6210/6217/6218/6222/6223/6224/6227/6229/6230/6232/6234/6191/6193/6201/6202/6203/3921/51187/340061/7098/7099/7311/720	80
Human Diseases	Cancer: overview	hsa05205	Proteoglycans in cancer	55/1529	204/9560	0.269607843137255	1.68571025532515	4.31952291650236	3.87051378001715e-05	0.00645794698289409	0.00520063895168971	71/287/23365/673/836/858/967/1277/1655/2066/355/2247/10818/8323/3082/3091/60495/3316/3673/3708/3709/3791/3845/5605/4193/4318/84309/27250/5170/5290/5291/5295/8503/5329/5499/4659/5566/5781/5777/5962/6093/6198/6237/4087/6654/6655/7023/7040/7057/7099/10451/7422/51384/81029/7479	55
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	26/1529	75/9560	0.346666666666667	2.16751689557445	4.42894511876314	5.55124382483733e-05	0.00645794698289409	0.00520063895168971	472/545/581/596/598/836/9133/896/900/3732/1021/355/4616/92344/51512/4193/4194/56475/6241/5054/143686/2810/51246/10572/7057/8795	26
Organismal Systems	Immune system	hsa04611	Platelet activation	37/1529	126/9560	0.293650793650794	1.83603766337579	4.12181352477417	0.000106575773284971	0.00929873621911372	0.00748835038607559	71/112/54518/23365/1277/2147/2149/2207/10672/2770/2811/2815/2977/2983/3673/3708/3709/91807/340156/5028/64805/5290/5291/5294/5295/8503/5499/4659/5566/5584/5593/5742/5906/6093/6915/6916/8673	37
Cellular Processes	Transport and catabolism	hsa04148	Efferocytosis	42/1529	157/9560	0.267515923566879	1.67263062740312	3.70781798934184	0.000366889328307287	0.0246320123296431	0.0198363664364793	19/102/8754/240/203859/384/405/23250/23200/10396/51761/712/713/836/1385/1398/1844/1847/2057/51454/3091/3717/5605/84466/7376/64805/24145/5627/5734/5743/5781/5777/5868/5878/338382/23411/6566/7040/7057/91937/55754/114786	42
Human Diseases	Drug resistance: antineoplastic	hsa01524	Platinum drug resistance	24/1529	75/9560	0.32	2.00078482668411	3.79645133177616	0.000423472991340569	0.0246320123296431	0.0198363664364793	1244/472/538/540/581/596/598/330/332/836/2067/355/2944/9446/2950/4193/4258/5170/5290/5291/5295/8503/5980/1317	24
Cellular Processes	Transport and catabolism	hsa04142	Lysosome	59/1529	249/9560	0.236947791164659	1.48150482899551	3.35913391535923	0.000898977142795792	0.0448204318336759	0.0360942702445829	53/8907/1175/23431/91056/55745/55317/411/537/535/50617/533/527/523/2647/118426/54785/119032/967/968/1211/1212/8218/5476/1508/1509/1510/1521/1522/1657/1777/84062/2717/151556/27074/55004/28956/389541/7805/4125/55283/256471/4286/9476/200576/10325/58528/11182/120103/6609/9342/55014/7942/7098/54106/6845/8673/54832/55737	59
Human Diseases	Neurodegenerative disease	hsa05016	Huntington disease	70/1529	311/9560	0.22508038585209	1.40730443999083	3.18622990646369	0.0014127038869336	0.0463115964772238	0.0372951176577251	1175/60673/513/516/581/627/836/1211/1212/8218/1327/9377/1329/1337/1339/9167/1350/1351/1385/201625/127602/8632/1767/1770/83544/2891/3708/3798/3799/3800/147700/55967/51079/4695/56901/54539/4713/4717/4722/374291/4728/4723/5289/5434/5435/5436/5438/5441/5688/5689/5693/5694/5702/5704/5710/5714/9821/6390/6506/6507/6875/7019/7277/203068/7280/10382/10975/7384/7388/27089	70
Human Diseases	Cancer: specific types	hsa05221	Acute myeloid leukemia	21/1529	68/9560	0.308823529411765	1.93090447428154	3.36128912062076	0.00157707965655773	0.0463115964772238	0.0372951176577251	597/673/929/1053/1147/1436/1978/2209/3845/5605/5290/5291/5295/8503/5914/6198/6654/6655/6688/6776/83439	21
Human Diseases	Neurodegenerative disease	hsa05014	Amyotrophic lateral sclerosis	81/1529	371/9560	0.21832884097035	1.36509072575314	3.12952763202215	0.00159133498871807	0.0463115964772238	0.0372951176577251	71/57679/22926/60673/513/516/581/596/598/203228/836/9973/400916/1327/9377/1329/1337/1339/9167/1350/1351/201625/127602/8632/1767/1770/83544/2066/2891/3798/3799/3800/147700/81631/5606/5608/9782/55967/51079/4695/56901/54539/4713/4717/4722/374291/4728/4723/4842/9972/9631/53371/29107/55916/5216/5289/5688/5689/5693/5694/5702/5704/5710/5714/116442/5868/4218/9821/6390/6506/10010/7133/7175/7277/203068/7280/10382/10975/7384/7388/27089	81
